data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:AWS/Lambda FunctionName:DDI-first-architecture-go2 Invocations Sum 60
Label,Invocations
2024/07/21 23:10:00,2
2024/07/21 23:11:00,120
2024/07/21 23:12:00,120
2024/07/21 23:13:00,612
2024/07/21 23:14:00,110
