data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:AWS/Lambda FunctionName:DDI-first-architecture-java3 Throttles Sum 60
Label,Throttles
2024/09/08 14:04:00,0
2024/09/08 14:05:00,0
2024/09/08 14:06:00,0
2024/09/08 14:07:00,3
2024/09/08 14:08:00,39
2024/09/08 14:09:00,46
2024/09/08 14:10:00,0
