data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:AWS/Lambda FunctionName:DDI-first-architecture-js Invocations Sum 60
Label,Invocations
2024/07/21 23:00:00,106
2024/07/21 23:01:00,120
2024/07/21 23:02:00,462
2024/07/21 23:03:00,128
2024/07/21 23:04:00,6
